[2025-01-14 13:37:36,356:INFO:main:custom logging data]
[2025-01-15 00:53:35,099:INFO:main:>>>>>> stage Data Ingestion stage started <<<<<<]
[2025-01-15 00:53:35,104:INFO:common:Reading the yaml file from the path: config\config.yaml]
[2025-01-15 00:53:35,144:INFO:common:Reading the yaml file from the path: params.yaml]
[2025-01-15 00:53:35,146:INFO:common:Reading the yaml file from the path: schema.yaml]
[2025-01-15 00:53:35,148:INFO:common:Creating directory: artifacts]
[2025-01-15 00:53:35,148:INFO:common:Creating directory: artifacts/data_ingestion]
[2025-01-15 00:53:35,150:INFO:data_ingestion:File already exists]
[2025-01-15 00:53:35,164:INFO:main:>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-01-15 01:06:05,888:INFO:common:Reading the yaml file from the path: config\config.yaml]
[2025-01-15 01:06:05,900:INFO:common:Reading the yaml file from the path: params.yaml]
[2025-01-15 01:06:05,905:INFO:common:Reading the yaml file from the path: schema.yaml]
[2025-01-15 01:06:05,907:INFO:common:Creating directory: artifacts]
[2025-01-15 01:15:09,468:INFO:common:Reading the yaml file from the path: config\config.yaml]
[2025-01-15 01:15:09,478:INFO:common:Reading the yaml file from the path: params.yaml]
[2025-01-15 01:15:09,500:INFO:common:Reading the yaml file from the path: schema.yaml]
[2025-01-15 01:15:09,517:INFO:common:Creating directory: artifacts]
[2025-01-15 01:15:18,722:INFO:common:Reading the yaml file from the path: config\config.yaml]
[2025-01-15 01:15:18,724:INFO:common:Reading the yaml file from the path: params.yaml]
[2025-01-15 01:15:18,726:INFO:common:Reading the yaml file from the path: schema.yaml]
[2025-01-15 01:15:18,728:INFO:common:Creating directory: artifacts]
[2025-01-15 01:16:05,685:INFO:common:Reading the yaml file from the path: config\config.yaml]
[2025-01-15 01:16:05,687:INFO:common:Reading the yaml file from the path: params.yaml]
[2025-01-15 01:16:05,690:INFO:common:Reading the yaml file from the path: schema.yaml]
[2025-01-15 01:16:05,691:INFO:common:Creating directory: artifacts]
[2025-01-15 01:16:31,169:INFO:common:Reading the yaml file from the path: config\config.yaml]
[2025-01-15 01:16:31,171:INFO:common:Reading the yaml file from the path: params.yaml]
[2025-01-15 01:16:31,173:INFO:common:Reading the yaml file from the path: schema.yaml]
[2025-01-15 01:16:31,176:INFO:common:Creating directory: artifacts]
[2025-01-15 01:17:03,727:INFO:common:Reading the yaml file from the path: config\config.yaml]
[2025-01-15 01:17:03,729:INFO:common:Reading the yaml file from the path: params.yaml]
[2025-01-15 01:17:03,732:INFO:common:Reading the yaml file from the path: schema.yaml]
[2025-01-15 01:17:03,734:INFO:common:Creating directory: artifacts]
[2025-01-15 01:18:53,477:INFO:common:Reading the yaml file from the path: config\config.yaml]
[2025-01-15 01:18:53,480:INFO:common:Reading the yaml file from the path: params.yaml]
[2025-01-15 01:18:53,484:INFO:common:Reading the yaml file from the path: schema.yaml]
[2025-01-15 01:18:53,486:INFO:common:Creating directory: artifacts]
[2025-01-15 01:20:44,000:INFO:common:Reading the yaml file from the path: config\config.yaml]
[2025-01-15 01:20:44,002:INFO:common:Reading the yaml file from the path: params.yaml]
[2025-01-15 01:20:44,004:INFO:common:Reading the yaml file from the path: schema.yaml]
[2025-01-15 01:20:44,005:INFO:common:Creating directory: artifacts]
[2025-01-15 01:20:44,006:INFO:common:Creating directory: artifacts/data_validation]
[2025-01-15 01:33:51,522:INFO:main:>>>>>> stage Data Ingestion stage started <<<<<<]
[2025-01-15 01:33:51,524:INFO:common:Reading the yaml file from the path: config\config.yaml]
[2025-01-15 01:33:51,527:INFO:common:Reading the yaml file from the path: params.yaml]
[2025-01-15 01:33:51,530:INFO:common:Reading the yaml file from the path: schema.yaml]
[2025-01-15 01:33:51,530:INFO:common:Creating directory: artifacts]
[2025-01-15 01:33:51,531:INFO:common:Creating directory: artifacts/data_ingestion]
[2025-01-15 01:33:51,531:INFO:data_ingestion:File already exists]
[2025-01-15 01:33:51,539:INFO:main:>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-01-15 01:33:51,539:INFO:main:>>>>>> stage Data Validation stage started <<<<<<]
[2025-01-15 01:33:51,540:INFO:common:Reading the yaml file from the path: config\config.yaml]
[2025-01-15 01:33:51,541:INFO:common:Reading the yaml file from the path: params.yaml]
[2025-01-15 01:33:51,542:INFO:common:Reading the yaml file from the path: schema.yaml]
[2025-01-15 01:33:51,543:INFO:common:Creating directory: artifacts]
[2025-01-15 01:33:51,543:INFO:common:Creating directory: artifacts/data_validation]
[2025-01-15 01:33:51,563:INFO:main:>>>>>> stage Data Validation stage completed <<<<<<

x==========x]
